Variable name,variable representations,allowable units,exception units,preferred unit for normalization,minimum value by domain knowledge,maximum value by domain knowledge,domain knowledge source
Nitrite,Nitrite,,TEMPORAL,,,,
Non-HDL Cholesterol,Non-HDL Cholesterol|Non-High Density Lipoprotein,,TEMPORAL,,,,
Non-HDL Cholesterol/HDL Cholesterol,Non-HDL Cholesterol/HDL Cholesterol|CHOLESTEROL/HDL,,TEMPORAL,,,,
Non-Phosphorylated Tau Protein,Non-Phosphorylated Tau Protein,,TEMPORAL,,,,
Non-Prostatic Acid Phosphatase,Non-Prostatic Acid Phosphatase,,TEMPORAL,,,,
Non-Squamous Epithelial Cells,Non-Squamous Epithelial Cells,,TEMPORAL,,,,
Nordazepam,Nordazepam|Nordiazepam,,TEMPORAL,,,,
Norepinephrine,Noradrenaline|Norepinephrine,,TEMPORAL,,,,
Normal Sperm/Total Sperm,Normal Sperm/Total Sperm|Sperm Morphology,,TEMPORAL,,,,
Normetanephrine,Normetanephrine,,TEMPORAL,,,,
Normoblasts/Total Cells,Normoblasts/Total Cells,,TEMPORAL,,,,
Nuclear Swelling,Nuclear Swelling,,TEMPORAL,,,,
Nucleated Erythrocytes,Nucleated Erythrocytes|Nucleated Red Blood Cells|Nucleated RBC,,TEMPORAL,,,,
Nucleated Erythrocytes/Erythrocytes,Nucleated Erythrocytes/Erythrocytes|Nucleated Red Blood Cells/Erythrocytes,,TEMPORAL,,,,
Nucleated Erythrocytes/Leukocytes,Nucleated Erythrocytes/Leukocytes,,TEMPORAL,,,,
Nut Mix Antigen IgE Antibody,Nut Mix Antigen IgE Antibody,,TEMPORAL,,,,
Nut Mix Antigen IgG Antibody,Nut Mix Antigen IgG Antibody,,TEMPORAL,,,,
Occult Blood,Occult Blood,,TEMPORAL,,,,
Oligoclonal Bands,Oligoclonal Bands,,TEMPORAL,,,,
Oncostatin M,Oncostatin M,,TEMPORAL,,,,
Opiate,Opiate,,TEMPORAL,,,,
Orchard Grass Pollen IgA,Cocksfoot Grass Pollen IgA|Orchard Grass Pollen IgA,,TEMPORAL,,,,
Orchard Grass Pollen IgE,Cocksfoot Grass Pollen IgE|Orchard Grass Pollen IgE,,TEMPORAL,,,,
Orchard Grass Pollen IgG,Cocksfoot Grass Pollen IgG|Orchard Grass Pollen IgG,,TEMPORAL,,,,
Orchard Grass Pollen IgG4,Cocksfoot Grass Pollen IgG4|Orchard Grass Pollen IgG4,,TEMPORAL,,,,
Ornithine,Ornithine,,TEMPORAL,,,,
Osmolality,Osmolality,,TEMPORAL,,,,
Osmolarity,Osmolarity,,TEMPORAL,,,,
Osteocalcin,Osteocalcin,,TEMPORAL,,,,
Osteopontin,Osteopontin,,TEMPORAL,,,,
Osteoprotegerin,OCIF|Osteoclastogenesis Inhibitory Factor|Osteoprotegerin|TNFRS11B|Tumor Necrosis Factor Receptor Superfamily Member 11b,,TEMPORAL,,,,
Ova and Parasite,Ova and Parasite,,TEMPORAL,,,,
Ovalocytes,Ovalocytes,,TEMPORAL,,,,
Oxalate,Ethanedioate|Oxalate,,TEMPORAL,,,,
Oxalate/Creatinine,Oxalate/Creatinine,,TEMPORAL,,,,
Oxazepam,Oxazepam,,TEMPORAL,,,,
Oxidized LDL Cholesterol,Oxidized LDL Cholesterol,,TEMPORAL,,,,
Oxidized LDL Cholesterol Antibody,Oxidized LDL Cholesterol Antibody,,TEMPORAL,,,,
Oxycodone,Oxycodone|Oxycontin,,TEMPORAL,,,,
Oxygen Capacity,Oxygen Capacity,,TEMPORAL,,,,
Oxygen Content,Oxygen Content,,TEMPORAL,,,,
Oxyhemoglobin,Oxyhemoglobin,,TEMPORAL,,,,
Oxytocin,Oxytocin|Oxytoxin,,TEMPORAL,,,,
P-Aminohippurate Sodium,P-Aminohippurate Sodium,,TEMPORAL,,,,
P-Selectin,GMP-140|P-Selectin,,TEMPORAL,,,,
P. notatum Antigen IgA Antibody,P. notatum Antigen IgA Antibody,,TEMPORAL,,,,
P. notatum Antigen IgE Antibody,P. notatum Antigen IgE Antibody,,TEMPORAL,,,,
P. notatum Antigen IgG Antibody,P. notatum Antigen IgG Antibody,,TEMPORAL,,,,
P. notatum Antigen IgG4 Antibody,P. notatum Antigen IgG4 Antibody,,TEMPORAL,,,,
P100 Polymyositis-scleroderma Autoag Ab,P100 Polymyositis-scleroderma Autoag Ab,,TEMPORAL,,,,
P50 Oxygen,P50 Oxygen,,TEMPORAL,,,,
Pancreatic Elastase 1,Pancreatic Elastase 1,,TEMPORAL,,,,
"Pancreatic Elastase 1, Polymorphonuclear","Pancreatic Elastase 1, Polymorphonuclear",,TEMPORAL,,,,
Pancreatic Polypeptide,Pancreatic Polypeptide,,TEMPORAL,,,,
Panel Reactive Antibody,PRA Score|Panel Reactive Antibody|Percent Reactive Antibody,,TEMPORAL,,,,
Pappenheimer Bodies,Pappenheimer Bodies,,TEMPORAL,,,,
"Parathyroid Hormone, C-Terminal","Parathyroid Hormone, C-Terminal",,TEMPORAL,,,,
"Parathyroid Hormone, Fragmented","Parathyroid Hormone, Fragmented",,TEMPORAL,,,,
"Parathyroid Hormone, Intact","Parathyroid Hormone, Intact",,TEMPORAL,,,,
"Parathyroid Hormone, Mid-Molecule","Parathyroid Hormone, Mid-Molecule",,TEMPORAL,,,,
"Parathyroid Hormone, N-Terminal","Parathyroid Hormone, N-Terminal",,TEMPORAL,,,,
"Parathyroid Hormone, Whole","Parathyroid Hormone, Whole",,TEMPORAL,,,,
Parathyroid Hormone-related Protein,Parathyroid Hormone-related Peptide|Parathyroid Hormone-related Protein,,TEMPORAL,,,,
Parietal Cell Antibody,Anti-Parietal Cell Antibody|Parietal Cell Antibody,,TEMPORAL,,,,
Partial Pressure Carbon Dioxide,Partial Pressure Carbon Dioxide|PCO2|PCO2ART,,TEMPORAL,,,,
Partial Pressure Oxygen,Partial Pressure Oxygen|PO2,,TEMPORAL,,,,
Parvovirus B19 IgG Antibody,Parvovirus B19 IgG Antibody,,TEMPORAL,,,,
Parvovirus B19 IgM Antibody,Parvovirus B19 IgM Antibody,,TEMPORAL,,,,
PCA3 mRNA/PSA mRNA,PCA3 mRNA/PSA mRNA,,TEMPORAL,,,,
Pelger Huet Anomaly,Pelger Huet Anomaly,,TEMPORAL,,,,
Pemphigoid Antibodies,Pemphigoid Antibodies,,TEMPORAL,,,,
Pepsinogen,Pepsinogen,,TEMPORAL,,,,
Pepsinogen A,PGA|Pepsinogen A,,TEMPORAL,,,,
Pepsinogen C,PGC|Pepsinogen C,,TEMPORAL,,,,
Pepsinogen I,PGI|Pepsinogen I,,TEMPORAL,,,,
Pepsinogen II,PGII|Pepsinogen II,,TEMPORAL,,,,
Peptide YY,Peptide Tyrosine Tyrosine|Peptide YY,,TEMPORAL,,,,
Periostin,OSF2|Osteoblast Specific Factor 2|POSTN|Periostin,,TEMPORAL,,,,
pH,pH|PHART,,TEMPORAL,,,,
Phencyclidine,Phencyclidine|Phenylcyclohexylpiperidine,,TEMPORAL,,,,
Phenobarbital,Phenobarbital,,TEMPORAL,,,,
Phenothiazine,Dibenzothiazine|Phenothiazine,,TEMPORAL,,,,
Phenylalanine,Phenylalanine,,TEMPORAL,,,,
Phosphate,Inorganic Phosphate|Phosphate|Phosphorus|PHOS,,TEMPORAL,,,,
Phosphate Clearance,Phosphate Clearance,,TEMPORAL,,,,
Phosphate/Creatinine,Phosphate/Creatinine,,TEMPORAL,,,,
Phosphatidylserine IgA Antibody,Phosphatidylserine IgA Antibody,,TEMPORAL,,,,
Phosphatidylserine IgG Antibody,Phosphatidylserine IgG Antibody,,TEMPORAL,,,,
Phosphatidylserine IgM Antibody,Phosphatidylserine IgM Antibody,,TEMPORAL,,,,
Phospholipid,Phospholipid,,TEMPORAL,,,,
Phosphorus Excretion Rate,Phosphorus Excretion Rate,,TEMPORAL,,,,
Phosphorylated Tau Protein,Phosphorylated Tau Protein,,TEMPORAL,,,,
Pi-GST Excretion Rate,Pi-GST Excretion Rate,,TEMPORAL,,,,
Plasmacytoid Lymphocytes,Plasmacytoid Lymphocytes|Plymphocytes,,TEMPORAL,,,,
Plasmacytoid Lymphocytes/Lymphocytes,Plasmacytoid Lymphocytes/Lymphocytes,,TEMPORAL,,,,
Plasminogen,Plasminogen,,TEMPORAL,,,,
Plasminogen Activator Inhibitor-1,Plasminogen Activator Inhibitor-1,,TEMPORAL,,,,
Plasminogen Activator Inhibitor-1 AG,Plasminogen Activator Inhibitor-1 AG,,TEMPORAL,,,,
Plasmodium,Malaria|Plasmodium,,TEMPORAL,,,,
Platelet Activating Factor,Platelet Activating Factor,,TEMPORAL,,,,
Platelet Aggregation,Platelet Aggregation|Platelet Function,,TEMPORAL,,,,
Platelet Aggregation Amplitude,Platelet Aggregation Amplitude,,TEMPORAL,,,,
Platelet Aggregation Curve Type,Platelet Aggregation Curve Type,,TEMPORAL,,,,
Platelet Aggregation Mean Amplitude,Platelet Aggregation Mean Amplitude,,TEMPORAL,,,,
Platelet Aggregation Mean Curve Type,Platelet Aggregation Mean Curve Type,,TEMPORAL,,,,
Platelet Clumps,PLT Clumps|Platelet Clumps,,TEMPORAL,,,,
Platelet Component Distribution Width,Platelet Component Distribution Width,,TEMPORAL,,,,
Platelet Derived Growth Factor IsoformAB,PDGF Isoform AB|Platelet Derived Growth Factor IsoformAB|Platelet Derived Growth Factor-AB Isoform,,TEMPORAL,,,,
Platelet Distribution Width,Platelet Distribution Width,,TEMPORAL,,,,
Platelet Function Closure Time,PFCT|Platelet Function Closure Time,,TEMPORAL,,,,
Platelet Hematocrit,Platelet Hematocrit|Thrombocytocrit,,TEMPORAL,,,,
Platelet Mass Distribution Width,Platelet Mass Distribution Width,,TEMPORAL,,,,
Platelet Morphology,Platelet Morphology,,TEMPORAL,,,,
Platelet Satellitism,Platelet Satellitism,,TEMPORAL,,,,
Platelets,Platelets|PLT|PLTS,,TEMPORAL,,,,
"Platelets, Estimated","Platelets, Estimated",,TEMPORAL,,,,
Poikilocytes,Poikilocytes,,TEMPORAL,,,,
Poikilocytes/Erythrocytes,Poikilocytes/Erythrocytes,,TEMPORAL,,,,
Polychromasia,Polychromasia,,TEMPORAL,,,,
Porphyrin,Porphyrin,,TEMPORAL,,,,
Potassium,Potassium|K,,TEMPORAL,,,,
Potassium Clearance,Potassium Clearance,,TEMPORAL,,,,
Potassium Excretion Rate,Potassium Excretion Rate,,TEMPORAL,,,,
Potassium/Creatinine,Potassium/Creatinine,,TEMPORAL,,,,
PP Arterial O2/Fraction Inspired O2,PAO2/FIO2|PP Arterial O2/Fraction Inspired O2,,TEMPORAL,,,,
Prazepam,Prazepam,,TEMPORAL,,,,
Prealbumin,Prealbumin|Thyroxine-binding Prealbumin|Transthyretin,,TEMPORAL,,,,
Precursor Plasma Cells,Plasmablast|Precursor Plasma Cells,,TEMPORAL,,,,
Precursor Plasma Cells/Lymphocytes,Precursor Plasma Cells/Lymphocytes,,TEMPORAL,,,,
Pregnancy-Associated Plasma Protein-A,Pregnancy-Associated Plasma Protein-A,,TEMPORAL,,,,
ProB-type Natriuretic Peptide,Pro-Brain Natriuretic Peptide|ProB-type Natriuretic Peptide|proBNP,,TEMPORAL,,,,
Procalcitonin,Procalcitonin,,TEMPORAL,,,,
Procollagen 1 N-Terminal Propeptide,Amino-terminal propeptide of type 1 procollagen|P1NP Aminoterm Type 1|Procollagen 1 N-Terminal Propeptide,,TEMPORAL,,,,
Procollagen 3 N-Terminal Propeptide,Procollagen 3 N-Terminal Propeptide,,TEMPORAL,,,,
Procollagen Type I Carboxy Term Peptide,Procollagen Type I Carboxy Term Peptide,,TEMPORAL,,,,
Proerythroblast,Proerythroblast|Pronormoblast|Rubriblast,,TEMPORAL,,,,
Progesterone,Progesterone,,TEMPORAL,,,,
Progesterone Receptor,NR3C3|PR|Progesterone Receptor,,TEMPORAL,,,,
Proinsulin,Proinsulin,,TEMPORAL,,,,
Proinsulin/Insulin Ratio,Proinsulin/Insulin Ratio,,TEMPORAL,,,,
Prolactin,Prolactin,,TEMPORAL,,,,
Proliferating Cell Nuclear Antigen,Cyclin|Proliferating Cell Nuclear Antigen,,TEMPORAL,,,,
Proliferating Erythroid/Total Cells,Proliferating Erythroid/Total Cells,,TEMPORAL,,,,
Proliferating Myeloid Cells/Total Cells,Proliferating Myeloid Cells/Total Cells,,TEMPORAL,,,,
Proline,Proline,,TEMPORAL,,,,
Prolymphocytes,Prolymphocytes,,TEMPORAL,,,,
Prolymphocytes/Leukocytes,Prolymphocytes/Leukocytes,,TEMPORAL,,,,
Prolymphocytes/Lymphocytes,Prolymphocytes/Lymphocytes,,TEMPORAL,,,,
Promonocytes,Promonocytes,,TEMPORAL,,,,
Promonocytes/Leukocytes,Promonocytes/Leukocytes,,TEMPORAL,,,,
Promyeloblasts,Promyeloblasts,,TEMPORAL,,,,
Promyelocytes,Promyelocytes,,TEMPORAL,,,,
Promyelocytes/Leukocytes,Promyelocytes/Leukocytes,,TEMPORAL,,,,
Promyelocytes/Total Cells,Promyelocytes/Total Cells,,TEMPORAL,,,,
Pronormoblasts/Total Cells,Proerythroblast/Total Cells|Pronormoblasts/Total Cells|Rubriblast/Total Cells,,TEMPORAL,,,,
Propoxyphene,Propoxyphene,,TEMPORAL,,,,
Proprotein Convertase Subtilisin/Kexin 9,Proprotein Convertase Subtilisin/Kexin 9,,TEMPORAL,,,,
Prorubricyte,Basophilic Erythroblast|Basophilic Normoblast|Prorubricyte,,TEMPORAL,,,,
Prorubricyte/Total Cells,Prorubricyte/Total Cells,,TEMPORAL,,,,
Prostaglandin,Prostaglandin,,TEMPORAL,,,,
Prostaglandin D2,Prostaglandin D2,,TEMPORAL,,,,
Prostaglandin D2 Synthase,Prostaglandin D2 Synthase,,TEMPORAL,,,,
Prostaglandin E Synthase,Prostaglandin E Synthase,,TEMPORAL,,,,
Prostaglandin E1,Prostaglandin E1,,TEMPORAL,,,,
Prostaglandin E2,Prostaglandin E2,,TEMPORAL,,,,
Prostaglandin F1 Alpha,Prostaglandin F1 Alpha,,TEMPORAL,,,,
Prostaglandin F2 Alpha,Prostaglandin F2 Alpha,,TEMPORAL,,,,
Prostate Cancer Antigen 3 mRNA,Prostate Cancer Antigen 3 mRNA,,TEMPORAL,,,,
Prostate Circulating Tumor Cells,Prostate Circulating Tumor Cells,,TEMPORAL,,,,
Prostate Specific Antigen,Prostate Specific Antigen,,TEMPORAL,,,,
Prostate Specific Antigen mRNA,Prostate Specific Antigen mRNA,,TEMPORAL,,,,
"Prostate Specific Antigen, Free","Prostate Specific Antigen, Free",,TEMPORAL,,,,
Prostatic Acid Phosphatase,Prostatic Acid Phosphatase,,TEMPORAL,,,,
Protein,Protein|PROTTOTAL,,TEMPORAL,,,,
Protein Excretion Rate,Protein Excretion Rate,,TEMPORAL,,,,
Protein S,Protein S,,TEMPORAL,,,,
"Protein S, Free","Protein S, Free",,TEMPORAL,,,,
Protein/Creatinine,Protein/Creatinine,,TEMPORAL,,,,
Protein/Osmolality,Protein/Osmolality|Protein/Osmolality Ratio,,TEMPORAL,,,,
Proteinase 3 Antibody,Proteinase 3 Antibody,,TEMPORAL,,,,
Prothrombin Activity,Factor II Activity|Prothrombin Activity,,TEMPORAL,,,,
Prothrombin Fragments 1 + 2,Prothrombin Fragments 1 + 2,,TEMPORAL,,,,
Prothrombin Intl. Normalized Ratio,Prothrombin Intl. Normalized Ratio,,TEMPORAL,,,,
Prothrombin Time,Prothrombin Time,min|sec|s|second|minute|seconds|minutes,,seconds,,,
Protozoa,Protozoa,,TEMPORAL,,,,
"PSA, Free/PSA","PSA, Free/PSA",,TEMPORAL,,,,
Pseudoephedrine,Pseudoephedrine,,TEMPORAL,,,,
Pyridinoline,Pyridinoline,,TEMPORAL,,,,
Rapid Plasma Reagin,Rapid Plasma Reagin,,TEMPORAL,,,,
RBC Casts,RBC Casts,,TEMPORAL,,,,
RDW Standard Deviation,RDW Standard Deviation|RDW-SD|Red Cell Volume Distribution Width Standard Deviation,,TEMPORAL,,,,
Reactive Lymphocytes,Reactive Lymphocytes,,TEMPORAL,,,,
Reactive Lymphocytes/Lymphocytes,Reactive Lymphocytes/Lymphocytes,,TEMPORAL,,,,
Reactive Oxygen Metabolite,Reactive Oxygen Metabolite,,TEMPORAL,,,,
Receptor Activator Nuclear KappaB Ligand,Receptor Activator Nuclear KappaB Ligand|Receptor Activator of Nuclear Kappa-B Ligand,,TEMPORAL,,,,
Reg upon Act Normal T-cell Exprd Secrtd,Chemokine Ligand 5|Reg upon Act Normal T-cell Exprd Secrtd,,TEMPORAL,,,,
Remnant Lipoprotein,Remnant Lipoprotein,,TEMPORAL,,,,
Renal Papillary Antigen 1,Renal Papillary Antigen 1,,TEMPORAL,,,,
Renin,Active Renin|Angiotensinogenase|Direct Renin|Renin,,TEMPORAL,,,,
Renin Activity,Renin Activity,,TEMPORAL,,,,
Reptilase Time,Reptilase Time,,TEMPORAL,,,,
Resistin,Resistin,,TEMPORAL,,,,
Ret Corpuscular HGB Conc Distr Width,Ret Corpuscular HGB Conc Distr Width|Reticulocyte Corpuscular Hemoglobin Distribution Width,,TEMPORAL,,,,
Ret Hemoglobin Distribution Width,Ret Hemoglobin Distribution Width|Reticulocyte Hemoglobin Concentration Distribution Width,,TEMPORAL,,,,
Ret RDW Coefficient of Variation,RDWr-CV|Red Cell Volume Distribution Width Coefficient of Variation in Reticulocytes|Ret RDW Coefficient of Variation|Reticulocyte Volume Distribution Width Coefficient of Variation,,TEMPORAL,,,,
Ret RDW Standard Deviation,RDWr-SD|Red Cell Volume Distribution Width Standard Deviation in Reticulocytes|Ret RDW Standard Deviation|Reticulocyte Volume Distribution Width Standard Deviation,,TEMPORAL,,,,
Ret Volume Distribution Width,RDWr|Ret Volume Distribution Width|Reticulocyte Volume Distribution Width,,TEMPORAL,,,,
Ret. Corpuscular Hemoglobin Content,CHr|Ret. Corpuscular Hemoglobin Content|Reticulocyte Cellular Hemoglobin Content,,TEMPORAL,,,,
Ret. Corpuscular HGB Concentration Mean,Ret. Corpuscular HGB Concentration Mean|Reticulocyte Corpuscular Hemoglobin Concentration Mean,,TEMPORAL,,,,
Reticulocytes,Reticulocytes,,TEMPORAL,,,,
Reticulocytes/Erythrocytes,Reticulocytes/Erythrocytes,,TEMPORAL,,,,
Retinol Binding Protein,Retinol Binding Protein,,TEMPORAL,,,,
Retinyl Palmitate,Retinol Palmitate|Retinyl Palmitate|Vitamin A Palmitate,,TEMPORAL,,,,
Rh Factor,Rh Factor,,TEMPORAL,,,,
RhD Factor,RhD Factor,,TEMPORAL,,,,
Rheumatoid Factor,Rheumatoid Factor,,TEMPORAL,,,,
Rheumatoid Factor IgA Antibody,Rheumatoid Factor IgA Antibody,,TEMPORAL,,,,
Rheumatoid Factor IgG Antibody,Rheumatoid Factor IgG Antibody,,TEMPORAL,,,,
Rheumatoid Factor IgM Antibody,Rheumatoid Factor IgM Antibody,,TEMPORAL,,,,
Riboflavin,Riboflavin|Vitamin B2,,TEMPORAL,,,,
Ribonucleic Acid,Ribonucleic Acid,,TEMPORAL,,,,
Ribonucleoprotein Antibody,RNP Antibody|Ribonucleoprotein Antibody,,TEMPORAL,,,,
Ribonucleoprotein Smith Complex Antibody,Ribonucleoprotein Smith Complex Antibody,,TEMPORAL,,,,
Ribonucleoprotein-70 Antibody,Ribonucleoprotein-70 Antibody|snRNP70 Antibody,,TEMPORAL,,,,
Ribosomal P Protein Antibody,Ribosomal P Protein Antibody,,TEMPORAL,,,,
Ringed Sideroblasts,Ringed Sideroblasts,,TEMPORAL,,,,
RLP Cholesterol,RLP Cholesterol,,TEMPORAL,,,,
RNA Polymerase III IgG Antibody,RNA Polymerase III IgG Antibody,,TEMPORAL,,,,
Rouleaux Formation,Rouleaux Formation,,TEMPORAL,,,,
Round Cells,Round Cells,,TEMPORAL,,,,
Round Epithelial Cells,Round Epithelial Cells,,TEMPORAL,,,,
Rubella IgG Antibody,Rubella IgG Antibody,,TEMPORAL,,,,
Rubeola IgG Antibody,Measles IgG Antibody|Rubeola IgG Antibody,,TEMPORAL,,,,
Rubeola IgM Antibody,Measles IgM Antibody|Rubeola IgM Antibody,,TEMPORAL,,,,
Rubricyte,Polychromatophilic Erythroblast|Polychromatophilic Normoblast|Rubricyte,,TEMPORAL,,,,
Rubricyte/Total Cells,Rubricyte/Total Cells,,TEMPORAL,,,,
S. pneumoniae Sero 1 IgG AB,S. pneumonia Sero 1 IgG AB|Streptococcus pneumoniae Serotype 1 IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 10A IgG AB,S. pneumonia Sero 10A IgG AB|Streptococcus pneumoniae Serotype 10A IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 11A IgG AB,S. pneumonia Sero 11A IgG AB|Streptococcus pneumoniae Serotype 11A IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 12F IgG AB,S. pneumonia Sero 12F IgG AB|Streptococcus pneumoniae Serotype 12F IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 14 IgG AB,S. pneumonia Sero 14 IgG AB|Streptococcus pneumoniae Serotype 14 IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 15B IgG AB,S. pneumonia Sero 15B IgG AB|Streptococcus pneumoniae Serotype 15B IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 17F IgG AB,S. pneumonia Sero 17F IgG AB|Streptococcus pneumoniae Serotype 17F IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 18C IgG AB,S. pneumonia Sero 18C IgG AB|Streptococcus pneumoniae Serotype 18C IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 19A IgG AB,S. pneumonia Sero 19A IgG AB|Streptococcus pneumoniae Serotype 19A IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 19F IgG AB,S. pneumonia Sero 19F IgG AB|Streptococcus pneumoniae Serotype 19F IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 2 IgG AB,S. pneumonia Sero 2 IgG AB|Streptococcus pneumoniae Serotype 2 IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 20 IgG AB,S. pneumonia Sero 20 IgG AB|Streptococcus pneumoniae Serotype 20 IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 22F IgG AB,S. pneumonia Sero 22F IgG AB|Streptococcus pneumoniae Serotype 22F IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 23F IgG AB,S. pneumonia Sero 23F IgG AB|Streptococcus pneumoniae Serotype 23F IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 3 IgG AB,S. pneumonia Sero 3 IgG AB|Streptococcus pneumoniae Serotype 3 IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 33F IgG AB,S. pneumonia Sero 33F IgG AB|Streptococcus pneumoniae Serotype 33F IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 4 IgG AB,S. pneumonia Sero 4 IgG AB|Streptococcus pneumoniae Serotype 4 IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 5 IgG AB,S. pneumonia Sero 5 IgG AB|Streptococcus pneumoniae Serotype 5 IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 6B IgG AB,S. pneumonia Sero 6B IgG AB|Streptococcus pneumoniae Serotype 6B IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 7F IgG AB,S. pneumonia Sero 7F IgG AB|Streptococcus pneumoniae Serotype 7F IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 8 IgG AB,S. pneumonia Sero 8 IgG AB|Streptococcus pneumoniae Serotype 8 IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 9N IgG AB,S. pneumonia Sero 9N IgG AB|Streptococcus pneumoniae Serotype 9N IgG Antibody,,TEMPORAL,,,,
S. pneumoniae Sero 9V IgG AB,S. pneumonia Sero 9V IgG AB|Streptococcus pneumoniae Serotype 9V IgG Antibody,,TEMPORAL,,,,
S100 Calcium-Binding Protein B,S100 Calcium-Binding Protein B,,TEMPORAL,,,,
Schistocytes,Schistocytes,,TEMPORAL,,,,
Scl-70 Antibody,Scl-70 Antibody|Scleroderma-70 Antibody,,TEMPORAL,,,,
Scl-70 IgG Antibody,Scl-70 IgG Antibody|Scleroderma-70 IgG Antibody,,TEMPORAL,,,,
Sclerostin,Sclerostin,,TEMPORAL,,,,
Secretin,Secretin,,TEMPORAL,,,,
Sediment Examination,Microscopic Sediment Analysis|Sediment Analysis|Sediment Examination,,TEMPORAL,,,,
Serine,Serine,,TEMPORAL,,,,
Serotonin,Serotonin,,TEMPORAL,,,,
Sex Hormone Binding Globulin,Sex Hormone Binding Globulin|Sex Hormone Binding Protein,,TEMPORAL,,,,
Sezary Cells,Sezary Cells,,TEMPORAL,,,,
Sezary Cells/Lymphocytes,Sezary Cells/Lymphocytes,,TEMPORAL,,,,
Shellfish Mix Antigen IgE Antibody,Shellfish Mix Antigen IgE Antibody,,TEMPORAL,,,,
Shellfish Mix Antigen IgG Antibody,Shellfish Mix Antigen IgG Antibody,,TEMPORAL,,,,
Sialyl SSEA-1 Antigen,SLeX|Sialyl Lewis X Antigen|Sialyl Lex|Sialyl SSEA-1 Antigen|Sialyl-CD15,,TEMPORAL,,,,
Sickle Cells,Sickle Cells,,TEMPORAL,,,,
Sickle Cells/Erythrocytes,Sickle Cells/Erythrocytes,,TEMPORAL,,,,
Sideroblast,Sideroblast,,TEMPORAL,,,,
Silver Birch Pollen IgA,Silver Birch Pollen IgA,,TEMPORAL,,,,
Silver Birch Pollen IgE,Silver Birch Pollen IgE,,TEMPORAL,,,,
Silver Birch Pollen IgG,Silver Birch Pollen IgG,,TEMPORAL,,,,
Silver Birch Pollen IgG4,Silver Birch Pollen IgG4,,TEMPORAL,,,,
Sjogrens SS-A Antibody,Ro Antibody|Sjogrens SS-A Antibody,,TEMPORAL,,,,
Sjogrens SS-A52 Antibody,Sjogrens SS-A52 Antibody,,TEMPORAL,,,,
Sjogrens SS-A60 Antibody,Sjogrens SS-A60 Antibody,,TEMPORAL,,,,
Sjogrens SS-B Antibody,La Antibody|Sjogrens SS-B Antibody,,TEMPORAL,,,,
Skeletal Troponin I,Skeletal Troponin I|sTnl,,TEMPORAL,,,,
Smith Antibody,Smith Antibody,,TEMPORAL,,,,
Smooth Muscle Antibody,Actin Antibody|Anti-Smooth Muscle Antibody|Smooth Muscle Antibody,,TEMPORAL,,,,
Smooth Muscle IgG Antibody,Smooth Muscle IgG Antibody,,TEMPORAL,,,,
Smudge Cells,Basket Cells|Gumprecht Shadow Cells|Shadow Cells|Smudge Cells,,TEMPORAL,,,,
Smudge Cells/Leukocytes,Basket Cells/Leukocytes|Gumprecht Shadow Cells/Leukocytes|Shadow Cells/Leukocytes|Smudge Cells/Leukocytes,,TEMPORAL,,,,
Sodium,Sodium|NA,,TEMPORAL,,,,
Sodium Clearance,Sodium Clearance,,TEMPORAL,,,,
Sodium Excretion Rate,Sodium Excretion Rate,,TEMPORAL,,,,
Sodium/Creatinine,Sodium/Creatinine,,TEMPORAL,,,,
Sodium/Potassium,Sodium/Potassium,,TEMPORAL,,,,
Soluble E-Selectin,Soluble E-Selectin|sE-selectin,,TEMPORAL,,,,
Soluble Immunoglobulin,Soluble Immunoglobulin,,TEMPORAL,,,,
Soluble Intercell Adhesion Molecule 1,Soluble Intercell Adhesion Molecule 1,,TEMPORAL,,,,
Soluble Interleukin 2 Receptor Activity,Soluble Interleukin 2 Receptor Activity,,TEMPORAL,,,,
Soluble Interleukin 6 Receptor,Soluble Interleukin 6 Receptor,,TEMPORAL,,,,
Soluble Interleukin-1 Receptor Type I,Soluble Interleukin-1 Receptor Type I,,TEMPORAL,,,,
